timestamp,kind,side,price,quantity
# Compact synthetic tape for CSV replay demos / leakage tests.
0,mid,,10000,0
5,market,buy,0,5
5,mid,,10002,0
10,limit,sell,10015,5
10,mid,,10001,0
15,market,sell,0,5
15,mid,,9998,0
20,market,buy,0,5
20,mid,,10005,0
25,limit,buy,9990,8
25,mid,,10004,0
30,market,sell,0,5
30,mid,,9996,0
35,market,buy,0,5
35,mid,,10010,0
40,market,sell,0,5
40,mid,,10000,0
45,market,buy,0,5
45,mid,,10012,0
50,market,sell,0,5
50,mid,,10008,0
60,mid,,10020,0
60,market,buy,0,5
70,mid,,10015,0
70,market,sell,0,5
80,mid,,10025,0
80,market,buy,0,5
90,mid,,10018,0
90,market,sell,0,5
100,mid,,10030,0
100,market,buy,0,5
110,mid,,10022,0
110,market,sell,0,5
120,mid,,10028,0
120,market,buy,0,5
130,mid,,10024,0
130,market,sell,0,5
140,mid,,10035,0
140,market,buy,0,5
150,mid,,10030,0
150,market,sell,0,5
160,mid,,10040,0
160,market,buy,0,5
170,mid,,10032,0
170,market,sell,0,5
180,mid,,10038,0
180,market,buy,0,5
190,mid,,10034,0
190,market,sell,0,5
200,mid,,10045,0
200,market,buy,0,5
